,c1,c2,r1,r2,w1,max_P,utility,inertia,reliability
86,0.8182865044000907,0.25241466251770056,1.937962860393233,0.0818282205748765,0.27762374178265525,1.8942636670516624,1.4692913581232485,0.9081000000000006,0.25740000000000013
87,0.050366251467817605,0.319084932971428,1.8118738695687118,0.4157170403014617,0.2262295006358,0.18873942153100837,0.5116651675888655,0.9900000000000014,1.0000000000000007
88,0.8482724869873688,0.23785228380897724,1.9929721508361584,0.07469590997548249,0.310821469703788,0.6529942498624673,0.785104816943219,0.6946,0.8078000000000007
89,-0.11529444825081844,0.252478006337635,1.7251526367425862,0.07741281292029152,0.09686030871213969,2.1410657776662996,1.6207434630719975,0.9580000000000011,0.14160000000000003
90,0.00852196310655115,0.2473923595068503,1.7327824326843282,0.0818734848866444,0.28901876430261686,2.0783901883756326,1.5906310192909632,0.949800000000001,0.1670000000000001
91,0.07053450093115457,0.25148359500481354,1.8558752720831104,0.08187380301419848,0.25948424682131255,1.2988129677497289,1.1409299092589003,0.8397000000000004,0.5231000000000007
92,-0.16832094886173124,0.2524812478139213,1.723268499210429,0.0818734848866444,0.464768527056898,1.1728970863728803,1.061976623810772,0.8023,0.5826000000000006
93,0.611565785184481,0.25250661549314257,1.6428369001024812,0.07572287504507991,0.2592662387487034,1.9364444813565422,1.5022676220372635,0.928200000000001,0.235
94,0.22752933234392037,0.13705214192572923,1.5645172869133084,0.07546932543428471,0.2685784262673559,0.11992250243640308,0.33678712786541326,0.9893000000000014,1.0000000000000007
95,0.790547194963984,0.25867535895920724,1.999240740970316,0.06642244850951419,0.424915458115965,0.5482755788575392,0.7204552951260225,0.7238000000000001,0.8645000000000006
96,0.3781368049161815,0.2525873089360616,1.996507678396423,0.08187319393840031,0.2866444574230652,0.5190201624920782,0.7104440525316196,0.7387000000000001,0.8717000000000008
97,-0.16888809821599848,0.2524812478139213,1.8432149620355982,0.0818734848866444,0.464768527056898,0.7217060934557137,0.816261663196928,0.7102000000000002,0.7827000000000006
98,0.5258230456622197,0.2524801096699132,1.5376789829331357,0.07646192976301047,0.27075274016450845,1.7101999542486666,1.3722570330900554,0.8987000000000008,0.3383000000000002
99,0.22696032453714948,0.317114888631569,1.3845199647112716,0.07330128719628881,0.3620467532501368,2.04567948308265,1.5708728941374226,0.9499000000000009,0.1841000000000003
100,0.602629053681986,0.24953327749244014,1.810557009506537,0.08191315422115229,0.4363445764902433,0.8022036304955381,0.8644400977311263,0.7624000000000003,0.7444000000000007
101,0.3778796796054049,0.24943925629110397,1.775305259429573,0.08185065128550191,0.4102924106837761,0.7190736295955666,0.820110676458495,0.7738,0.7807000000000007
102,-0.04257353944093348,0.2524207918712446,1.599344932497111,0.07484223957251794,0.46873085352991606,1.3189258323372484,1.1501659955013588,0.8523000000000007,0.5152000000000007
103,0.6085348740062434,0.25256215755028605,1.6266915624198088,0.0818515206410025,0.4900911703514398,0.3094375944318502,0.5956922565203616,0.6524999999999997,0.9637000000000007
104,-0.08799673540427858,0.2524798536711943,1.4709026880369793,0.06502113070376832,0.3412923878685028,2.2841274942973926,1.7148576659692167,0.9798000000000009,0.07060000000000002
105,0.8430212246698301,0.258782287175069,1.9968238735411135,0.07469590997548249,0.29032222761972565,0.30277489939021074,0.5901979256359043,0.6843999999999999,0.9724000000000007
106,0.6552941686792344,0.25247876757280746,1.823185333123045,0.07657644636508901,0.45489201150859027,1.0726097883105135,1.0125165912797318,0.7954000000000003,0.6259000000000007
107,0.6085348740062434,0.2509007668696652,1.8043527070184013,0.08189666648659842,0.4190019959576435,1.0914707098019194,1.022300715779171,0.8051000000000001,0.6166000000000007
108,0.6552941686792344,0.25247876757280746,1.783724238584297,0.07657644636508901,0.45489201150859027,1.216146130133797,1.0905172033073687,0.8115000000000003,0.5621000000000006
109,0.5248419916215006,0.25251499219166634,1.2925241886127312,0.08195351707276971,0.48847453008822517,0.2780108159686681,0.573544376517467,0.6224999999999999,0.9820000000000007
110,0.5248419916215006,0.2524771441239031,1.470065259864087,0.08185156830191537,0.2702956923630215,1.0325583978101687,0.9918526552896109,0.8064000000000004,0.6432000000000008
111,0.2916300135179454,0.25248419166574293,1.6721263203983987,0.07604269471979481,0.3551826731776395,1.1369476817560165,1.0519661122152377,0.8204000000000004,0.5962000000000007
112,0.7653728466673478,0.25250661549314257,1.867799574607793,0.07572287504507991,0.259056077527262,2.202224968450781,1.6541488239967646,0.9640000000000012,0.11469999999999989
113,0.6085348740062434,0.24932950987770033,1.6266915624198088,0.0818515206410025,0.47524131879162596,0.4919921995690612,0.6936004430756205,0.6712,0.8823000000000006
114,0.8461295260300428,0.258782287175069,1.9940968218508848,0.0747003018019349,0.29051114976262743,0.34217953264421774,0.6111405404880086,0.6765,0.9545000000000007
