,hypervolume,epsilon_progress,nfe
0,0.0,0,0
1,0.10404293808760369,14,100
2,0.0863894235343269,135,1187
3,0.12976771147124674,213,2269
4,0.13652615337653048,335,3357
5,0.13678089759228126,373,4445
6,0.13716700899680562,407,5533
7,0.1372589990765481,437,6617
8,0.13732411704408234,456,7713
9,0.13734829649870264,474,8803
10,0.13732908401868454,487,9894
11,0.13713773440526816,507,11006
12,0.13714913698508838,542,12203
13,0.13942946485254834,566,13409
14,0.1394593935351864,574,14616
15,0.13943175831623944,585,15829
16,0.13943470072399028,595,17034
17,0.13945595594430119,606,18233
18,0.13946295722674468,612,19434
19,0.1394618358216512,617,20639
20,0.13947293465787564,621,21854
21,0.13954421977874534,626,23050
22,0.13957922456402588,631,24255
23,0.13957922456402588,633,25460
24,0.13962348561848514,639,26662
25,0.13967875464754156,644,27869
26,0.1396810349082117,649,29067
27,0.13968541283055816,651,30269
28,0.13965933772086958,653,31471
29,0.1396651951251268,656,32680
30,0.13967160225436337,660,33886
31,0.13969116531884065,664,35091
32,0.13969116531884065,665,36296
33,0.1397020343047615,668,37507
34,0.13970423303076543,672,38707
35,0.13970423303076543,673,39921
36,0.1397304866342021,674,41130
37,0.1397242880922739,677,42337
38,0.13971765442089867,678,43545
39,0.13973853578755008,680,44753
40,0.13974462698815734,684,45963
41,0.13971363696577513,687,47169
42,0.13969704024972737,690,48373
43,0.13970421601777,692,49579
