,hypervolume,epsilon_progress,nfe
0,0.0,0,0
1,0.0,14,100
2,0.0,118,1196
3,0.0,143,2282
4,0.0,162,3374
5,0.0,177,4456
6,0.0,189,5543
7,0.0,194,6631
8,0.0,198,7728
9,0.0,203,8819
10,0.0,206,9899
11,0.0,212,10988
12,0.0,213,12074
13,0.0,216,13155
14,0.0,218,14242
15,0.0,221,15334
16,0.0,224,16420
17,0.0,225,17515
18,0.0,225,18601
19,0.0,229,19696
20,0.0,230,20785
21,0.0,231,21874
22,0.0,232,22957
23,0.0,233,24052
24,0.0,234,25139
25,0.0,234,26230
26,0.0,234,27319
27,0.0,234,28407
28,0.0,237,29488
29,0.0,238,30575
30,0.0,239,31665
31,0.0,243,32760
32,0.0,245,33852
33,0.0,245,34939
34,0.0,245,36027
35,0.0,245,37121
36,0.0,245,38212
37,0.0,246,39298
38,0.0,247,40387
39,0.0,248,41477
40,0.0,251,42570
41,0.0,251,43662
42,0.0,251,44753
43,0.0,251,45843
44,0.0,251,46930
45,0.0,251,48016
46,0.0,251,49108
