,epsilon_progress,nfe
0,0,0
1,9,100
2,32,1198
3,68,2295
4,87,3392
5,106,4486
6,133,5583
7,161,6677
8,176,7768
9,189,8857
10,198,9952
11,205,11037
12,211,12127
13,217,13219
14,218,14299
15,218,15375
16,218,16456
17,219,17537
18,220,18614
19,220,19701
20,220,20708
21,222,21710
22,222,22777
23,223,23782
24,223,24848
25,224,25912
26,224,26983
27,224,27984
28,224,29051
29,224,30051
30,224,31116
31,225,32183
32,225,33251
33,225,34319
34,225,35385
35,225,36445
36,225,37512
37,225,38581
38,225,39645
39,225,40703
40,225,41766
41,226,42834
42,226,43893
43,226,44934
44,226,45991
45,226,47054
46,226,48107
47,226,49173
