,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Evacuation Costs,Total investment costs,Expected Annual Damage other dike rings,Expected Number of Deaths other dike rings,A.3_Expected Annual Damage,A.3_Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,3,0,0,4,0,0,0,3,0,4,0,0,854.9463619395544,158368109.01358795,23258010.113890283,0.002006298180207861,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,2,0,2,0,0,0.0,134608667.82740456,58211373.04673448,0.038744449857826144,0.0,0.0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,3,0,0,5,0,0,5,0,0,1672.5574855248992,157041382.77811253,11874081.846749416,0.0010693909127304033,37061986.46022375,0.006163557952278549
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,3,0,0,0,2,0,2,0,0,2002.235877522758,134608667.82740456,58211373.04673448,0.005811667478673923,0.0,0.0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,1,0,0,3,0,0,2,0,0,5659.835686185396,136404544.20018387,33192172.14242878,0.0029416563968005143,131690466.06588942,0.02157013465299619
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7822.896048736998,38245121.951764055,480104373.0935783,0.09271448774535784,236392123.90256667,0.11306734579195812
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12263.546025774976,20299287.62732069,625511719.7532235,0.0535299123183122,26955458.108608633,0.005427011498101427
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,26620087.93698693,584592158.8477421,0.3372129975037859,166579901.97124732,0.22144399924014785
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20979.370628074386,0.0,598085305.9052097,0.04072194641613711,236392123.90256667,0.03768911526398605
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,12350.86358952791,86394419.21826613,96059091.50220351,0.008039244517703274,240865793.41366524,0.038996557364163284
10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5280.915295308683,95533433.20475732,99126781.13224362,0.008987388581483235,62572545.168718524,0.012492921940080153
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9590.15747525606,6320800.309666242,576543268.907442,0.11943490912869467,236392123.90256667,0.11306734579195812
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,20299287.62732069,607227443.8545476,0.3451883963525666,166579901.97124732,0.22144399924014785
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14845.934528133273,52994188.72148262,303843665.58604205,0.023051637420024362,102195897.66898088,0.016348542665519602
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,32694901.094161935,279654132.8408128,0.17661994518314858,236618296.33745986,0.31462678978450864
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16886.80400934018,0.0,598085305.9052097,0.05090243302017139,236392123.90256667,0.04711139407998256
16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4415.3888116646085,37020800.309666246,506970572.8597362,0.10190594641710382,0.0,0.0
