,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Evacuation Costs,Total investment costs,Expected Annual Damage other dike rings,Expected Number of Deaths other dike rings,A.3_Expected Annual Damage,A.3_Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,8079.897949351189,70280051.0821829,54094116.16507125,0.0073419956024433405,169804619.91982442,0.04771676116719588
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,16326.625051689518,34221561.73832255,483791606.74435794,0.16053226423785397,56735590.84988587,0.0388511643664141
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,26403379.542306438,54094116.16507125,0.04894663734962226,643405071.3209679,1.173291071640235
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,33049.71735326152,26403379.542306438,54094116.16507125,0.005873596481954671,643405071.3209679,0.14079492859682816
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,1468.923501666993,70662154.45775652,66383190.93057638,0.020111246367633027,0.0,0.0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.0,28798397.130608946,441365234.7724034,0.40807266202765347,169804619.91982442,0.31811174111463913
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,16024.105383399525,26403379.542306438,54094116.16507125,0.01762078944586401,643405071.3209679,0.42238478579048444
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,2,0,0,5,0,0,1052.7558948679794,81293793.9603757,54094116.16507125,0.01762078944586401,0.0,0.0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.0,34221561.73832255,483791606.74435794,0.4459229562162611,56735590.84988587,0.10791990101781693
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,26602.518702909365,26403379.542306438,54094116.16507125,0.0073419956024433405,643405071.3209679,0.17599366074603523
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0.0,67598678.29551964,66382367.11087756,0.05586381230608801,56735590.84988587,0.10791990101781693
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,27104.748620968923,34221561.73832255,483791606.74435794,0.06688844343243917,56735590.84988587,0.01618798515267254
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0.0,103357055.55191845,42298518.61329755,0.03757681491155537,0.0,0.0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,59098280.63646837,30009443.847792417,0.030658879017752546,643405071.3209679,1.173291071640235
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0.0,89071528.19242612,30009443.847792417,0.030658879017752546,169804619.91982442,0.31811174111463913
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,0,0,2,0,0,7,0,0,816.813608560874,128435515.22840518,30009443.847792417,0.011037196446390915,0.0,0.0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0.0,67636563.9429394,108682400.690063,0.09630850271267091,0.0,0.0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,32694901.094161935,30009443.847792417,0.030658879017752546,1835147993.669053,3.2295920166311807
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0.0,56376627.09826419,54094116.16507125,0.04894663734962226,169804619.91982442,0.31811174111463913
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.0,34221561.73832255,330145068.8865546,0.3135975165940481,692640883.683155,1.1484772728889383
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0,2,0,0,4866.950294197423,62697427.407930434,54094116.16507125,0.01762078944586401,169804619.91982442,0.11452022680127008
