,epsilon_progress,nfe
0,0,0
1,8,100
2,32,1194
3,50,2289
4,80,3383
5,109,4482
6,135,5570
7,150,6660
8,160,7748
9,162,8840
10,166,9927
11,169,10994
12,171,12062
13,172,13067
14,172,14070
15,172,15074
16,172,16077
17,172,17154
18,172,18157
19,172,19157
20,172,20157
21,172,21158
22,172,22230
23,173,23239
24,173,24316
25,173,25387
26,174,26394
27,174,27457
28,174,28460
29,175,29465
30,175,30466
31,175,31468
32,175,32545
33,175,33549
34,175,34624
35,175,35624
36,175,36698
37,175,37773
38,175,38780
39,175,39785
40,175,40857
41,176,41929
42,176,43006
43,176,44077
44,176,45082
45,176,46083
46,176,47088
47,176,48093
48,176,49093
