,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Evacuation Costs,Total investment costs,Expected Annual Damage other dike rings,Expected Number of Deaths other dike rings,A.3_Expected Annual Damage,A.3_Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,7850.357418609617,103330141.3406643,676085506.161785,0.0943504023010466,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,4728.685880386028,96695140.83129871,676085506.161785,0.2264409655225118,0.0,0.0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.0,34221561.73832255,1298373272.9605742,1.3522564029352966,0.0,0.0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,32694901.094161935,1070751256.1893132,1.169842602757631,1251754009.7113235,2.8161907997582114
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0.0,137274357.53841853,117259739.09614962,0.14812423761389812,0.0,0.0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0.0,127898814.73787239,87863187.64567469,0.11177084757169868,38351943.45266877,0.09412867000712608
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,28836.964297704246,34221561.73832255,1298373272.9605742,0.4868123050567069,0.0,0.0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,7,0,0,0,0,0,0,0,0,9753.851576899971,137521868.41552952,20309741.174429473,0.009602621083687677,291884387.6358659,0.25503728898203704
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,9,0,0,0,0,0,4,0,0,1755.2120034487345,177286474.6049812,20309741.174429473,0.009602621083687677,34104045.31799879,0.030775370120577752
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,5,0,0,9,0,0,0,0,0,4,0,0,3295.6110262805946,170651474.09561563,43479581.987156615,0.006747686987107211,0.0,0.0
