,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Evacuation Costs,Total investment costs,Expected Annual Damage other dike rings,Expected Number of Deaths other dike rings,A.3_Expected Annual Damage,A.3_Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,8,0,0,0,1,5,0,0,0,0.0,175070448.92295858,94518640.88965015,0.06847464626155943,0.0,0.0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44004.43090597298,30700000.0,3370061739.93747,0.2711250644724712,518580578.1978776,0.10147754440124926
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66828.18272359922,84672506.1869576,1007581532.8758066,0.24933827316505566,2160507352.177972,1.0147129809615503
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,28290.01867781355,24198032.45136138,3419139312.3895345,0.27607480990466265,0.0,0.0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61838.9482589453,92217628.13872164,775531533.4832125,0.19876293566969871,2279573449.096027,1.1031004136149838
5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54669.034160832314,30700000.0,3370061739.93747,0.21690005157797687,518580578.1978776,0.0811820355209994
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,129978.07119339998,101815205.7500577,804365761.2498147,0.06978751057405104,2244510199.2906923,0.3579124207599953
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,111306.01015905432,96790921.85845539,416755572.971171,0.03664342243888257,2324285847.5208445,0.3787640600875348
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143915.44948898177,53972506.18695759,1140268993.3858094,0.09523053375543031,2185664388.4103045,0.3444626784779403
9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,84672506.1869576,1007581532.8758066,0.692606314347377,2160507352.177972,2.81864716933764
10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137833.12686742336,84672506.1869576,1007581532.8758066,0.08311275772168522,2160507352.177972,0.3382376603205168
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,92217628.13872164,775531533.4832125,0.5521192657491629,2279573449.096027,3.0641678155971777
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,53972506.18695759,1140268993.3858094,0.7935877812952528,2185664388.4103045,2.8705223206495027
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115841.03415306297,53972506.18695759,1140268993.3858094,0.1190381671942879,2185664388.4103045,0.43057834809742546
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,102662.31644551469,92217628.13872164,775531533.4832125,0.08281788986237447,2279573449.096027,0.45962517233957667
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69777.18763102146,53972506.18695759,1140268993.3858094,0.2856916012662909,2185664388.4103045,1.0333880354338212
