,epsilon_progress,nfe
0,0,0
1,12,100
2,67,1100
3,154,2198
4,288,3292
5,435,4384
6,556,5474
7,655,6556
8,748,7645
9,807,8734
10,854,9821
11,871,11807
12,884,12887
13,903,13967
14,925,15046
15,952,16121
16,1000,17199
17,1064,18277
18,1127,19350
19,1178,20427
20,1227,21502
21,1276,22572
22,1324,23644
23,1367,24721
24,1406,25787
25,1437,26833
26,1470,27897
27,1488,28964
28,1508,30026
29,1531,31079
30,1555,32146
31,1570,33218
32,1588,34283
33,1603,35346
34,1617,36400
35,1629,37461
36,1643,38525
37,1656,39590
38,1669,40655
39,1682,41722
40,1694,42782
41,1701,43843
42,1711,44907
43,1715,45967
44,1724,47034
45,1733,48102
46,1738,49164
