,epsilon_progress,nfe
0,0,0
1,15,100
2,66,1194
3,163,2194
4,319,3286
5,492,4377
6,615,5466
7,704,6550
8,787,7638
9,839,8719
10,881,9804
11,888,11283
12,904,12862
13,950,14441
14,1026,16017
15,1093,17588
16,1147,19144
17,1194,20712
18,1224,22260
19,1257,23817
20,1284,25361
21,1315,26910
22,1337,28465
23,1351,30026
24,1373,31583
25,1398,33149
26,1410,34712
27,1413,36268
28,1425,37823
29,1436,39386
30,1445,40948
31,1448,42503
32,1453,44057
33,1458,45617
34,1468,47181
35,1475,48741
