,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Evacuation Costs,Total investment costs,Expected Annual Damage other dike rings,Expected Number of Deaths other dike rings,A.3_Expected Annual Damage,A.3_Expected Number of Deaths
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,37255203.23710208,80451717.25759555,0.08818494530972688,110251932.28791106,0.2390403709688913
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0.0,127951136.50357582,28977463.10125304,0.025046349350689404,60248825.27173919,0.13340212541630747
78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0.0,154602836.53919023,0.0,0.0,59137140.138494365,0.12899431125089145
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4570.05786120411,80537600.65726204,51766224.70647304,0.01751250835918728,120520017.87258536,0.09482497023884322
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,4475.803231054748,92429983.01972395,39845062.61334378,0.016219505231752133,117097322.67769393,0.09190149134216244
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,3,0,0,3,0,0,1920.469788931609,139177840.2749086,11087926.005949415,0.0047647201337920565,60248825.27173919,0.048024765149870696
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,2,0,0,2,0,0,0.0,140307500.6146999,4663337.28596792,0.004978079779207376,60248825.27173919,0.13340212541630747
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,3,0,0,2,0,0,0.0,146944702.12889695,1809806.0964151244,0.002039369961481059,60248825.27173919,0.13340212541630747
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,0.0,138056512.79782233,12070591.544593396,0.013911979763658926,60248825.27173919,0.13340212541630747
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,2,0,0,2,0,0,3334.1464553631286,130709923.00336385,22595298.544399798,0.009554758742773345,99140799.12714238,0.07811412730191339
