,epsilon_progress,nfe
0,0,0
1,16,100
2,70,1198
3,111,2295
4,175,3394
5,230,4488
6,272,5583
7,315,6676
8,338,7767
9,364,8857
10,375,9943
11,380,11203
12,401,12203
13,431,13208
14,458,14534
15,485,15865
16,495,16869
17,510,18188
18,522,19520
19,532,20845
20,538,22173
21,544,23496
22,554,24828
23,558,26150
24,563,27153
25,568,28480
26,571,29483
27,574,30483
28,579,31815
29,585,33143
30,587,34469
31,589,35798
32,590,37129
33,590,38129
34,591,39132
35,592,40458
36,594,41789
37,595,43118
38,597,44443
39,597,45444
40,598,46447
41,599,47775
42,600,49104
